corruption_id,happiness_id,institutional_trust,perceived_corruption
581,581,0.063,0.937
582,582,0.032,0.968
583,583,0.053,0.947
584,584,0.077,0.923
585,585,0.144,0.856
586,586,0.05,0.95
587,587,0.095,0.905
588,588,0.056,0.944
589,589,0.064,0.9359999999999999
590,590,0.065,0.935
591,591,0.128,0.872
592,592,0.107,0.893
593,593,0.158,0.842
594,594,0.055,0.945
595,595,0.082,0.918
596,596,0.093,0.907
597,597,0.146,0.854
598,598,0.215,0.785
599,599,0.028,0.972
600,600,0.178,0.8220000000000001
601,601,0.06,0.94
602,602,0.052,0.948
603,603,0.093,0.907
604,604,0.099,0.901
605,605,0.061,0.9390000000000001
606,606,0.067,0.933
607,607,0.082,0.918
608,608,0.011,0.989
609,609,0.101,0.899
610,610,0.094,0.906
611,611,0.112,0.888
612,612,0.061,0.9390000000000001
613,613,0.049,0.951
614,614,0.099,0.901
615,615,0.036,0.964
616,616,0.092,0.908
617,617,0.08,0.92
618,618,0.104,0.896
619,619,0.03,0.97
620,620,0.144,0.856
621,621,0.444,0.556
622,622,0.064,0.9359999999999999
623,623,0.097,0.903
624,624,0.106,0.894
625,625,0.038,0.962
626,626,0.076,0.924
627,627,0.393,0.607
628,628,0.41,0.5900000000000001
629,629,0.341,0.659
630,630,0.118,0.882
631,631,0.298,0.702
632,632,0.343,0.657
633,633,0.373,0.627
634,634,0.38,0.62
635,635,0.308,0.692
636,636,0.226,0.774
637,637,0.29,0.71
638,638,0.093,0.907
639,639,0.082,0.918
640,640,0.316,0.6839999999999999
